ProductID,ProductName,Category
SET389-KR-NP-S,SET389,Set
JNE3781-KR-XXXL,JNE3781,kurta
JNE3371-KR-XL,JNE3371,kurta
J0341-DR-L,J0341,Western Dress
JNE3671-TU-XXXL,JNE3671,Top
SET264-KR-NP-XL,SET264,Set
J0095-SET-L,J0095,Set
JNE3405-KR-S,JNE3405,kurta
SET200-KR-NP-A-XXXL,SET200,Set
JNE3461-KR-XXL,JNE3461,kurta
JNE3160-KR-G-S,JNE3160,kurta
JNE3500-KR-XS,JNE3500,kurta
JNE3405-KR-XS,JNE3405,kurta
SET182-KR-DH-XS,SET182,Set
J0351-SET-L,J0351,Set
PJNE3368-KR-6XL,PJNE3368,kurta
JNE3721-KR-XXL,JNE3721,kurta
JNE3405-KR-XL,JNE3405,kurta
JNE3697-KR-XXL,JNE3697,kurta
SET254-KR-NP-XS,SET254,Set
JNE3795-KR-XXXL,JNE3795,kurta
SET345-KR-NP-M,SET345,Set
JNE3373-KR-L,JNE3373,kurta
SET291-KR-PP-M,SET291,Set
MEN5002-KR-L,MEN5002,kurta
NW030-TP-PJ-XS,NW030,Set
JNE3415-KR-XXXL,JNE3415,kurta
PJNE2199-KR-N-4XL,PJNE2199,kurta
JNE3567-KR-M,JNE3567,kurta
JNE2132-KR-398-XXXL,JNE2132,kurta
J0341-DR-S,J0341,Western Dress
MEN5009-KR-XL,MEN5009,kurta
J0011-LCD-M,J0011,Set
JNE3766-KR-M,JNE3766,kurta
JNE3373-KR-XL,JNE3373,kurta
MEN5001-KR-XL,MEN5001,kurta
SET345-KR-NP-L,SET345,Set
JNE3787-KR-S,JNE3787,kurta
JNE3543-KR-S,JNE3543,kurta
JNE3405-KR-L,JNE3405,kurta
J0211-DR-XXL,J0211,Ethnic Dress
J0401-DR-XXXL,J0401,Western Dress
JNE2153-KR-278-A-M,JNE2153,kurta
SET360-KR-NP-M,SET360,Set
SET268-KR-NP-L,SET268,Set
SET183-KR-DH-S,SET183,Set
J0230-SKD-L,J0230,Set
JNE3744-TU-S,JNE3744,Top
JNE3510-KR-S,JNE3510,kurta
JNE3405-KR-M,JNE3405,kurta
J0186-SET-S,J0186,Set
J0003-SET-M,J0003,Set
SET282-KR-PP-M,SET282,Set
JNE1407-BLACK-KR-UDF18-XL,JNE1407,kurta
J0301-TP-L,J0301,Top
JNE3869-DR-S,JNE3869,Western Dress
SET324-KR-NP-XS,SET324,Set
SET279-LC-S,SET279,Set
JNE2014-KR-178-XXL,JNE2014,kurta
NW005-ST-PJ-XL,NW005,Set
JNE2270-KR-487-A-M,JNE2270,kurta
JNE3579-KR-M,JNE3579,kurta
SET347-KR-NP-XS,SET347,Set
SET264-KR-NP-M,SET264,Set
JNE3373-KR-XXL,JNE3373,kurta
SET333-KR-DPT-XXL,SET333,Set
JNE3645-TP-N-L,JNE3645,Top
SET233-KR-PP-L,SET233,Set
J0381-SKD-XXXL,J0381,Set
JNE3068-KR-A-XL,JNE3068,kurta
JNE3718-KR-M,JNE3718,kurta
SET386-KR-NP-S,SET386,Set
JNE3745-KR-XXL,JNE3745,kurta
JNE3467-KR-XL,JNE3467,kurta
JNE3721-KR-L,JNE3721,kurta
JNE3405-KR-XXL,JNE3405,kurta
SET295-KR-NP-XXXL,SET295,Set
JNE3861-DR-XL,JNE3861,Western Dress
SET288-KR-NP-XXXL,SET288,Set
SET394-KR-NP-XXXL,SET394,Set
SET397-KR-NP-XXXL,SET397,Set
MEN5002-KR-XXL,MEN5002,kurta
SET377-KR-NP-M,SET377,Set
JNE3510-KR-M,JNE3510,kurta
BTM038-PP-XXXL,BTM038,Bottom
J0343-DR-M,J0343,Western Dress
J0341-DR-XL,J0341,Western Dress
J0295-DR-XXL,J0295,Western Dress
JNE3560-KR-M,JNE3560,kurta
J0333-DR-XXXL,J0333,Western Dress
SET389-KR-NP-M,SET389,Set
JNE3801-KR-XXXL,JNE3801,kurta
SET098-KR-PP-M,SET098,Set
MEN5013-KR-L,MEN5013,kurta
J0003-SET-L,J0003,Set
JNE3718-KR-XXXL,JNE3718,kurta
SET347-KR-NP-S,SET347,Set
JNE3391-KR-XXL,JNE3391,kurta
SET277-KR-NP-XXL,SET277,Set
J0293-DR-S,J0293,Western Dress
SET154-KR-NP-XL,SET154,Set
JNE3439-KR-XL,JNE3439,kurta
SET291-KR-PP-XL,SET291,Set
SET293-KR-NP-M,SET293,Set
JNE3648-TP-N-M,JNE3648,Top
JNE3334-KR-M,JNE3334,kurta
SET331-KR-NP-XS,SET331,Set
SET265-KR-NP-S,SET265,Set
JNE3718-KR-S,JNE3718,kurta
SET397-KR-NP  -M,SET397,Set
JNE3861-DR-XXL,JNE3861,Western Dress
J0335-DR-XL,J0335,Western Dress
J0335-DR-XXL,J0335,Western Dress
JNE1525-KR-UDF19-A-S,JNE1525,kurta
JNE3654-TP-XL,JNE3654,Top
JNE3261-KR-S,JNE3261,kurta
SET324-KR-NP-S,SET324,Set
SET332-KR-PP-S,SET332,Set
SET324-KR-NP-XXXL,SET324,Set
SET280-KR-PP-S,SET280,Set
JNE3618-KR-XXL,JNE3618,kurta
SET304-KR-DPT-XS,SET304,Set
MEN5032-KR-XXXL,MEN5032,kurta
SET110-KR-PP-XXL,SET110,Set
SET324-KR-NP-M,SET324,Set
SET269-KR-NP-XXXL,SET269,Set
JNE3794-KR-M,JNE3794,kurta
JNE3291-KR-XXL,JNE3291,kurta
JNE3440-KR-N-XXXL,JNE3440,kurta
JNE2270-KR-487-A-XXL,JNE2270,kurta
JNE3261-KR-M,JNE3261,kurta
SET110-KR-PP-M,SET110,Set
J0300-TP-XXXL,J0300,Top
JNE3810-KR-S,JNE3810,kurta
JNE3461-KR-XL,JNE3461,kurta
JNE3429-KR-XL,JNE3429,kurta
JNE3710-DR-S,JNE3710,Western Dress
J0113-TP-XS,J0113,Top
SET355-KR-PP-M,SET355,Set
J0009-SKD-S,J0009,Set
J0248-KR-DPT-XL,J0248,Set
JNE3560-KR-XL,JNE3560,kurta
JNE3373-KR-XXXL,JNE3373,kurta
SET398-KR-PP-L,SET398,Set
NW032-ST-CP-XXL,NW032,Set
SET361-KR-NP-S,SET361,Set
JNE3797-KR-L,JNE3797,Western Dress
JNE3887-KR-XL,JNE3887,kurta
JNE3870-DR-XXL,JNE3870,Western Dress
SET345-KR-NP-XS,SET345,Set
NW013-ST-SR-L,NW013,Set
JNE2014-KR-178-XL,JNE2014,kurta
JNE3612-KR-S,JNE3612,kurta
PJNE2100-KR-N-6XL,PJNE2100,kurta
SET398-KR-PP-XXXL,SET398,Set
J0006-SET-M,J0006,Ethnic Dress
JNE3437-KR-S,JNE3437,kurta
JNE3465-KR-S,JNE3465,kurta
J0373-KR-XXXL,J0373,kurta
J0344-TP-XXXL,J0344,Top
J0118-TP-XXL,J0118,Top
SET200-KR-NP-A-XS,SET200,Set
JNE1998-KR-311-XXL,JNE1998,kurta
MEN5004-KR-XXXL,MEN5004,kurta
SET345-KR-NP-XXL,SET345,Set
JNE3654-TP-L,JNE3654,Top
J0344-TP-L,J0344,Top
J0334-TP-L,J0334,Top
J0230-SKD-S,J0230,Set
JNE1233-BLUE-KR-031-XXL,JNE1233,kurta
J0295-DR-M,J0295,Western Dress
SET324-KR-NP-L,SET324,Set
J0147-SET-XL,J0147,Set
J0308-DR-L,J0308,Western Dress
NW030-TP-PJ-L,NW030,Set
SET360-KR-NP-XL,SET360,Set
PJNE3373-KR-N-6XL,PJNE3373,kurta
JNE3449-KR-XXL,JNE3449,kurta
JNE3786-KR-S,JNE3786,kurta
J0003-SET-XXL,J0003,Set
J0314-KR-M,J0314,kurta
J0341-DR-M,J0341,Western Dress
PJNE3068-KR-4XL,PJNE3068,kurta
J0340-TP-M,J0340,Top
JNE3687-TU-M,JNE3687,Top
J0376-SKD-L,J0376,Set
J0198-TP-S,J0198,Top
JNE3453-KR-S,JNE3453,kurta
SET398-KR-PP-M,SET398,Set
NW033-ST-CP-XXXL,NW033,Set
NW037-TP-SR-XXXL,NW037,Set
JNE3618-KR-M,JNE3618,kurta
SET290-KR-DPT-M,SET290,Set
JNE3568-KR-XXL,JNE3568,kurta
J0003-SET-XXXL,J0003,Set
JNE2153-KR-278-A-S,JNE2153,kurta
JNE3645-TP-N-XS,JNE3645,Top
JNE3662-TP-XS,JNE3662,Top
JNE3440-KR-N-L,JNE3440,kurta
SET331-KR-NP-S,SET331,Set
J0301-TP-M,J0301,Top
MEN5004-KR-XL,MEN5004,kurta
J0352-KR-S,J0352,kurta
JNE3160-KR-G-XXL,JNE3160,kurta
JNE3798-KR-M,JNE3798,Western Dress
JNE3690-TU-XL,JNE3690,Top
SET355-KR-PP-XXL,SET355,Set
SET317-KR-PP-XXL,SET317,Set
SET375-KR-NP-XL,SET375,Set
JNE3371-KR-M,JNE3371,kurta
SET116-KR-NP-XL,SET116,Set
SET147-KR-NP-XL,SET147,Set
SET397-KR-NP-XL,SET397,Set
SET300-KR-NP-L,SET300,Set
JNE3384-KR-M,JNE3384,kurta
JNE3291-KR-XL,JNE3291,kurta
SET291-KR-PP-L,SET291,Set
JNE3399-KR-L,JNE3399,kurta
JNE3440-KR-N-XS,JNE3440,kurta
SET363-KR-NP-XXL,SET363,Set
J0348-SET-S,J0348,Set
J0399-DR-M,J0399,Western Dress
